,ï»¿ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle
2235,,what is taipei 101,taipei 101 is a 101floor landmark skyscraper,medium,medium,S10_set3_a6,Taipei
2236,,how do giraffes defend themselves,with powerful kicks,medium,easy,S09_set1_a5,Giraffe
2237,Egypt,since when has egypt been a republic,june 18 1953,medium,medium,S08_set2_a6,
2238,,who wrote the first novel in finnish,the first novel in finnish was published by aleksis kivi,hard,hard,S10_set5_a5,Finnish_language
2239,Calvin_Coolidge,who appointed harlan fiske stone to the supreme court,coolidge,hard,hard,S08_set3_a9,
2240,,is jakarta the 12th largest city in the world,yes,easy,hard,S10_set3_a5,Jakarta
2241,,what is charlesaugustin de coulomb best known for,he is best known for developing coulombs law,medium,medium,S10_set4_a6,Charles-Augustin_de_Coulomb
2242,turtle,where do sea turtles lay their eggs,holes dug into the mud or sand,medium,medium,S08_set1_a9,
2243,,are cougars larger than jaguars,no,easy,hard,S10_set1_a2,Cougar
2244,,did he receive the societys 1794 copley medal,yes,,easy,S09_set4_a10,Alessandro_Volta
2245,Uruguay,is uruguay located in the northwesten part of africa,no,easy,medium,S08_set2_a9,
2246,,when were the colonial buildings in kuala lumpur constructed,toward the end of the 19th and early 20th centuries,hard,medium,S10_set3_a3,Kuala_Lumpur
2247,Romania,is the romanian economy doing well,yes,hard,too hard,S08_set2_a7,
2248,Amedeo_Avogadro,what happened in 1833,avogadro had been recalled to turin university,,medium,S08_set4_a8,
2249,,must â one conclude from these experiments that the phosphorescent substance in question emits rays which pass through the opaque paper and reduces silver salts,yes,,easy,S09_set4_a9,Henri_Becquerel
2250,,what are the three segments of an ant,the head mesosoma and metasoma are the three distinct body segments,medium,hard,S10_set1_a1,Ant
2251,,where is the headstock located,end of the guitar neck furthest from the body,medium,medium,S10_set2_a7,Guitar
2252,Grover_Cleveland,who did cleveland run against in 1884,james g blaine,hard,hard,S08_set3_a6,
2253,Liechtenstein,was liechtenstein part of the ancient roman province of raetia,yes,easy,easy,S08_set2_a1,
2254,Anders_Celsius,who determined the dependence of the boiling of water with atmospheric pressure,anders celsius,,medium,S08_set4_a5,
2255,,he discovered an inverse relationship of what,distance and electric force,,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
2256,,who was the eldest sibling,gilberte,hard,hard,S09_set4_a4,Blaise_Pascal
2257,,when was the principia published,1687,medium,medium,S10_set4_a1,Isaac_Newton
2258,,is malay spoken as local dialect of ethnic malays,yes,,easy,S10_set5_a2,Malay_language
2259,,is the foot pedal framework for a piano called a lyre,yes,hard,medium,S10_set2_a10,Lyre
2260,Amedeo_Avogadro,is it true that he became a professor in 1820,yes,,easy,S08_set4_a8,
2261,Finland,does it have a border with norway,yes,easy,medium,S08_set2_a4,
2262,Woodrow_Wilson,what field did woodrow wilson leave law practice to study,government,hard,hard,S08_set3_a8,
2263,Canada,what was the consitution act formerly called,the british north america act,medium,hard,S08_set2_a8,
2264,,does the giant otter live in south america,yes,easy,easy,S09_set1_a7,Otter
2265,Calvin_Coolidge,when did coolidge meet and marry grace anna goodhue,in 1905,medium,medium,S08_set3_a9,
2266,John_Adams,what did jefferson call john adams,the colossus of independence,medium,hard,S08_set3_a1,
2267,,was vietnamese influenced by chinese,yes,medium,medium,S10_set5_a10,Vietnamese_language
2268,elephant,how do elephants communicate over long distances,by producing and receiving lowfrequency sound infrasound,medium,medium,S08_set1_a5,
2269,,what do people commonly call cleptoparasitic bees,cuckoo bees,medium,medium,S09_set1_a8,Bee
2270,,what are some of the cougars primary food sources,ungulates such as deer elk and bighorn sheep as well as domestic cattle horses and sheep,medium,medium,S10_set1_a2,Cougar
2271,James_Monroe,what happened in the election of 1816,monroe was elected president,,easy,S08_set3_a2,
2272,turtle,what is the smallest suborder of turtles,pleurodira,hard,hard,S08_set1_a9,
2273,otter,are male otters dogotters,yes,,easy,S08_set1_a7,
2274,Canada,is canada bilingual,yes,easy,easy,S08_set2_a8,
2275,,does each type of drum head serve its own musical purpose,yes,easy,easy,S10_set2_a4,Drum
2276,James_Monroe,did james monroe attend the college of william and mary,yes,easy,easy,S08_set3_a2,
2277,,when did beijing host the olympic games,2008,medium,medium,S09_set3_a7,Beijing
2278,,is london the capital of the united kingdom,yes,easy,easy,S09_set3_a1,London
2279,,drums are usually played by what,the hands,medium,medium,S10_set2_a4,Drum
2280,,the number of elementary entities in 1 mole of a substance is known as what,avogadro constant,medium,medium,S10_set4_a8,Amedeo_Avogadro
2281,Woodrow_Wilson,what was scotsirish and scottish,his ancestry,,medium,S08_set3_a8,
2282,otter,why otters are considered as totem animals,the time of year associated with this is also associated with the aquarius sign of the zodiac through which the sun passes january 20february 19,hard,hard,S08_set1_a7,
2283,elephant,how much do elephants weight at birth,at birth it is common for an elephant calf to weigh 120 kilograms 265 lb,hard,medium,S08_set1_a5,
2284,otter,what animals are related to otters,weasels polecats and badgers,hard,hard,S08_set1_a7,
2285,,how do turtles chew food,turtles use their jaws to cut and chew food,medium,easy,S09_set1_a4,Turtle
2286,penguin,what is the largest living species of penguin,emperor penguin,medium,medium,S08_set1_a3,
2287,,why did german troops occupy copenhagen,because it was ww2,hard,too hard,S09_set3_a8,Copenhagen
2288,Calvin_Coolidge,did coolidge graduate from black river academy,yes,easy,easy,S08_set3_a9,
2289,,is the word korean derived from goryeo,yes,easy,medium,S10_set5_a6,Korean_language
2290,,has the dragon historically served as chinas national emblem,yes,easy,easy,S10_set1_a4,Giant_Panda
2291,Millard_Fillmore,is the comic strip mallard fillmore named after the president,yes,,easy,S08_set3_a3,
2292,Singapore,when is the first record of s08_settlement in singapore,the first records of s08_settlement in singapore are from the second century ad,medium,medium,S08_set2_a2,
2293,,are pronouns in literary arabic marked for person  number and gender,yes,,easy,S09_set5_a3,Arabic_language
2294,Romania,is romania a semipresidential democratic republic where executive functions are shared between the president and the prime minister,yes,,easy,S08_set2_a7,
2295,,what is the smallest species of fox,the fennec fox is the smallest species of fox,medium,medium,S09_set1_a6,Fox
2296,,where are turtle eggs layed,on land,hard,easy,S09_set1_a4,Turtle
2297,Grover_Cleveland,is he buried in the princeton cemetery of the nassau presbyterian church,yes,,easy,S08_set3_a6,
2298,,was amedeo avogadro italian,yes,easy,easy,S09_set4_a8,Amedeo_Avogadro
2299,Grover_Cleveland,when did he die,june 24 1908,medium,medium,S08_set3_a6,
2300,,is the most popular sport in montreal ice hockey,yes the most popular sport in montreal is ice hockey,easy,medium,S10_set3_a7,Montreal
2301,Gray_Wolf,where is the largest gray wolf population thought to be found,kazakhstan,medium,medium,S08_set1_a6,
2302,,did the golden age of xylophones come before or after the first usage of the europeanderived orchestral,after,hard,hard,S10_set2_a8,Xylophone
2303,John_Adams,who was defeated for reelection in the revolution of 1800 by thomas jefferson,john adams,,medium,S08_set3_a1,
2304,Qatar,was qatar university founded in 1973,yes,,medium,S08_set2_a3,
2305,,is the giant panda a carnivore,yes,hard,easy,S10_set1_a4,Giant_Panda
2306,,is ottawa colder than moscow in january,yes,hard,easy,S09_set3_a5,Ottawa
2307,polar_bear,is polar bear a mammal,yes,easy,easy,S08_set1_a4,
2308,,how old is the oldest known representation of a guitarlike intrument being played,3300 years old,hard,hard,S10_set2_a7,Guitar
2309,kangaroo,do kangaroos eat plants,yes,hard,too hard,S08_set1_a1,
2310,,what was maynard ferguson noted for being able to play accurately,yes,hard,easy,S10_set2_a3,Trumpet
2311,,what is the name of an adult female,pen,hard,medium,S09_set1_a10,Swan
2312,,was king victor  emmanuel  iii there to pay  homage  to avogadro,yes,,easy,S09_set4_a8,Amedeo_Avogadro
2313,,how many parts of speech does the korean language contain,the korean language contains nine parts of speech,easy,too easy,S10_set5_a6,Korean_language
2314,,why does the cornet have a slightly mellower tone than the trumpet,the cornet and flugelhorn have conical bores,hard,hard,S10_set2_a3,Trumpet
2315,,arent drums usually played by the hands,yes,,easy,S10_set2_a4,Drum
2316,,how does swahili time run,from dawn to dusk,medium,medium,S10_set5_a4,Swahili_language
2317,,did volta have a passion for the study of electricity,yes,easy,medium,S09_set4_a10,Alessandro_Volta
2318,Singapore,how many days did it take the imperial japanese army to win the battle of singapore,six days,hard,medium,S08_set2_a2,
2319,Grover_Cleveland,why did cleveland want to hide his cancer surgery from the public,because of the financial depression of the country,hard,hard,S08_set3_a6,
2320,kangaroo,is a kangaroo a marsupial from the family macropodidae lrb macropods  meaning   large foot   rrb,yes,,easy,S08_set1_a1,
2321,kangaroo,what are vehicles that frequent isolated roads often fitted with,roo bars,medium,medium,S08_set1_a1,
2322,beetle,when are sperm cells transferred to the female,during pairing,medium,hard,S08_set1_a8,
2323,Singapore,is singapore lrb     rrb  officially the republic of singapore lrb     rrb  an island nation located at the southern tip of the malay peninsula,yes,,easy,S08_set2_a2,
2324,,do terrestrial tortoises have short feet,yes,easy,easy,S09_set1_a4,Turtle
2325,,is the standard of living in san franciscio high,yes,easy,easy,S10_set3_a8,San_Francisco
2326,Calvin_Coolidge,is calvin jr older than john coolidge,no,hard,hard,S08_set3_a9,
2327,Romania,who was the first gymnast to score a perfect ten,nadia comäneci,medium,medium,S08_set2_a7,
2328,,what event marked the end of the old portuguese period,the publication of the cancioneiro geral by garcia de resende in 1516,medium,medium,S10_set5_a1,Portuguese_language
2329,duck,why are ducklings particularly vulnerable,their inability to fly makes them easy prey,medium,medium,S08_set1_a10,
2330,,how is the pronunciation of foreign words determined,foreign words are transliterated into closematch existing chinese morphemes,hard,too hard,S10_set5_a7,Chinese_language
2331,,what religion did isaac newton follow,he never made a public declaration of his private faith,hard,too hard,S10_set4_a1,Isaac_Newton
2332,,how many strings does a violin usually have,4,medium,medium,S09_set2_a2,Violin
2333,elephant,how do elephants communicate over long distances,by producing and receiving low frequency sound,medium,medium,S08_set1_a5,
2334,,did the occult influence newtons theory of gravitation,yes,hard,hard,S10_set4_a1,Isaac_Newton
2335,,james watts improvements of what were fundamental to the changes wrought by the industrial revolution,steam engine,easy,hard,S09_set4_a2,James_Watt
2336,,where are the only surviving giant tortoises,they are on the seychelles and galãpagos islands,medium,medium,S09_set1_a4,Turtle
2337,Uruguay,how many square kilometres of continental land is uruguay,176215 kmï½ï½,medium,medium,S08_set2_a9,
2338,,from which languages is korean descended,korean is descended from old korean middle korean and modern korean,hard,easy,S10_set5_a6,Korean_language
2339,,what is an effective way to accentuate a note,playing a bass drum playing an identical part is an effective way to accentuate a note,hard,hard,S09_set2_a6,Cymbal
2340,,is the otter in the same family as the badger,yes,hard,easy,S09_set1_a7,Otter
2341,Gray_Wolf,does the gray wolf share an ancestry with the domestic dog,yes,easy,easy,S08_set1_a6,
2342,turtle,what do turtle eggs preared to eat consist mainly of,yolk,medium,medium,S08_set1_a9,
2343,otter,how many species and genera does otter have,13 species in 7 genera,easy,medium,S08_set1_a7,
2344,Calvin_Coolidge,was coolidge opposed in the republican nomination for governor of massachus08_setts in 1918,yes,easy,medium,S08_set3_a9,
2345,,what is amedeo avogadros last name,avogadro,,too easy,S09_set4_a8,Amedeo_Avogadro
2346,,copenhagen is the capital of what country,denmark,easy,easy,S09_set3_a8,Copenhagen
2347,Canada,in addition to port royal where else did samuel de champlain establish a s08_settlement,quebec city,medium,medium,S08_set2_a8,
2348,John_Adams,where is adams buried,united first parish church,medium,medium,S08_set3_a1,
2349,,have managed populations of european honey bees experienced substantial declines,yes,easy,easy,S09_set1_a8,Bee
2350,polar_bear,what do fossil and dna evidence tell us,the polar bear diverged from the brown bear roughly 200 thousand years ago,hard,medium,S08_set1_a4,
2351,,what is the cause of local earthquakes,it was the san andreas fault which slipped and caused the earthquakes in 1906 and 1989,hard,medium,S10_set3_a8,San_Francisco
2352,,does vietnamese borrow from latin and greek,no vietnamese does not borrow from latin and greek,hard,medium,S10_set5_a10,Vietnamese_language
2353,,where did charlesaugustin de coulomb die,paris france,medium,medium,S09_set4_a6,Charles-Augustin_de_Coulomb
2354,James_Monroe,where was james monroe born,westmoreland county virginia,medium,medium,S08_set3_a2,
2355,,would it be common for tigers to mate in january,yes,hard,hard,S09_set1_a3,Tiger
2356,Canada,when did canada have one of the largest armed forces in the world,world war ii,hard,hard,S08_set2_a8,
2357,,has swahili no diphthongs,no,,easy,S09_set5_a4,Swahili_language
2358,,do sea otters have a layer of fat like whales,no,hard,hard,S09_set1_a7,Otter
2359,polar_bear,the bears sometimes what,they sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites,,medium,S08_set1_a4,
2360,Singapore,has singapore a network of reservoirs and water catchment areas,yes,,easy,S08_set2_a2,
2361,Uruguay,why was the capital of uruguay founded,for a military stronghold,hard,medium,S08_set2_a9,
2362,beetle,how many species of beetles are there,350000,medium,medium,S08_set1_a8,
2363,,why does jakarta suffer frequent flooding,because it is located approximately eight meters above the sea level,hard,hard,S10_set3_a5,Jakarta
2364,,the sociolinguistic situation of arabic provides a prime example of what,the linguistic phenomenon of diglossia,,medium,S09_set5_a3,Arabic_language
2365,,did tesla study electrical engineering,yes,easy,easy,S09_set4_a3,Nikola_Tesla
2366,,is the battery made by volta credited as the first electrochemical cell,yes,,easy,S10_set4_a10,Alessandro_Volta
2367,,does a standard piano have fewer strings than a harp,no,hard,hard,S10_set2_a10,Lyre
2368,,what does henri becquerel do,was a physisist,,medium,S09_set4_a9,Henri_Becquerel
2369,,do giant pandas attack humans,yes,easy,easy,S10_set1_a4,Giant_Panda
2370,elephant,how long may elephants live,70 years,medium,medium,S08_set1_a5,
2371,,where are there small portuguesespeaking communities,there are small portuguesespeaking communities in macau and east timor,medium,medium,S10_set5_a1,Portuguese_language
2372,duck,what allows a duck to filter water out of the side of their beaks and keep food inside,tiny rows of plates called lamellae like a whales baleen,hard,hard,S08_set1_a10,
2373,,who discovered benzene,michael faraday discovered benzene,medium,medium,S10_set4_a7,Michael_Faraday
2374,,when was a threeholed flute made from a mammoth tusk discovered,in 2004,medium,medium,S09_set2_a5,Flute
2375,,is he one of the most recognized figures in 20thcentury art,yes,,easy,S10_set6_a1,Pablo_Picasso
2376,James_Watt,who died in childbirth in 1772,margaret miller,,medium,S08_set4_a2,
2377,,is there a statue of watt in the white house,no a colossal statue of watt by chantrey was placed in westminster abbey and later was moved to st pauls cathedral,easy,easy,S10_set4_a2,James_Watt
2378,,what principles did newton explain for mechanics,in mechanics newton enunciated the principles of conservation of momentum and angular momentum,hard,medium,S09_set4_a1,Isaac_Newton
2379,,was leonardo a contemporary of botticelli domenico ghirlandaio as well as perugino,leonardo was a contemporary of botticelli domenico ghirlandaio and perugino,,easy,S10_set6_a3,Leonardo_da_Vinci
2380,beetle,which defense mechanism uses colour or shape to deceive potential enemies,mimicry,medium,easy,S08_set1_a8,
2381,leopard,how did early naturalists distinguish between leopards and panthers,by the length of the tail panthers having longer tails than leopards,hard,hard,S08_set1_a2,
2382,,was becquerel a french physicist,yes,easy,easy,S10_set4_a9,Henri_Becquerel
2383,,was tesla an american citizen,yes,easy,easy,S10_set4_a3,Nikola_Tesla
2384,turtle,what type of creatures breathe air and dont lay eggs underwater,amniotes,hard,hard,S08_set1_a9,
2385,Woodrow_Wilson,did wilson support desegregation,no,hard,hard,S08_set3_a8,
2386,,do giraffes give birth standing up,yes,easy,medium,S09_set1_a5,Giraffe
2387,,how many raised arms are extending from the soundchest of a classical lyre,two,medium,medium,S10_set2_a10,Lyre
2388,polar_bear,a semiaquatic marine mammal  the polar bear has what,it has adapted for life on a combination of land sea and ice,,medium,S08_set1_a4,
2389,,what is a person that makes or repairs violins called,luthier,hard,medium,S10_set2_a2,Violin
2390,Egypt,during what period was akhenaten a pharaoh,the new kingdom c155087221070 bc,hard,hard,S08_set2_a6,
2391,Ghana,is ghanas head of state john agyekum kufuor,yes,easy,easy,S08_set2_a5,
2392,,what is the most basic form of the flute,a flute can be an open tube which is blown like a bottle,hard,medium,S10_set2_a5,Flute
2393,Qatar,has qatar a modern telecommunication system centered in doha,yes,,easy,S08_set2_a3,
2394,,is the wisma building the tallest building in indonesia,yes,easy,medium,S10_set3_a5,Jakarta
2395,elephant,why does the phrase elephants never forget have no metaphorical meaning,because it refers literally to elephants supposedly having an excellent memory,medium,medium,S08_set1_a5,
2396,Romania,what did tourism in romania attract in 2005,investments worth 400 million euros,,medium,S08_set2_a7,
2397,Calvin_Coolidge,was calvin coolidge republican,yes,easy,easy,S08_set3_a9,
2398,,crowds of believers came to see and kiss the thorn all of catholic where acclaimed a miracle,paris,,medium,S10_set4_a4,Blaise_Pascal
2399,leopard,is the leopard smaller than the other members of panthera,yes,easy,easy,S08_set1_a2,
2400,,have cymbals been used historically to suggest bacchanal,yes,easy,easy,S09_set2_a6,Cymbal
2401,,what is the definition of the electrostatic force of attraction and repulsion,coulombs law,hard,medium,S09_set4_a6,Charles-Augustin_de_Coulomb
2402,,what is the official standard language used by the peoples republic of china the republic of china and singapore where it is called huayu,standard mandarin,medium,medium,S10_set5_a7,Chinese_language
2403,Romania,does romania share the same language with moldova,yes,easy,easy,S08_set2_a7,
2404,,was his father member of the sandemanian sect,yes,,easy,S09_set4_a7,Michael_Faraday
2405,,what did pascal argue was as perfect as possible,the procedure used in geometry,medium,medium,S09_set4_a4,Blaise_Pascal
2406,Liechtenstein,the historical society of the principality of liechtenstein plays what,a role in preserving the culture and history of the country,,easy,S08_set2_a1,
2407,Uruguay,where is uruguays oldest church,san carlos maldonado,medium,medium,S08_set2_a9,
2408,Theodore_Roosevelt,how did newspapers respond to roosevelt inviting brooker t washington to dinner at the white house,they outraged,hard,hard,S08_set3_a7,
2409,,was coulomb born in angoulme france to a welltodo family,coulomb was born in angoulãªme france to a welltodo family,,easy,S10_set4_a6,Charles-Augustin_de_Coulomb
2410,,is taipei in a valley,yes,easy,easy,S10_set3_a6,Taipei
2411,Romania,does romania share the same language with moldova,practically,easy,medium,S08_set2_a7,
2412,,how does a flute player change the pitch of the sound,opening and closing holes in the body of the instrument,hard,medium,S10_set2_a5,Flute
2413,,was tesla on the cover of time magazine,yes,easy,hard,S10_set4_a3,Nikola_Tesla
2414,,where is smoked eel considered a delicacy,smoked eel is considered a delicacy in northern germany the netherlands denmark and sweden,medium,medium,S10_set1_a8,Eel
2415,,does a classical lyre have a soundchest,yes,easy,easy,S09_set2_a10,Lyre
2416,Canada,what is the largest country in the world,canada is the second largest country in the world after russia and largest on the continent,hard,medium,S08_set2_a8,
2417,Millard_Fillmore,was millard fillmore born on january 7 1800,yes,easy,medium,S08_set3_a3,
2418,,do otters have claws,yes,easy,easy,S09_set1_a7,Otter
2419,,is english an intonation  language,yes,,easy,S09_set5_a1,English_language
2420,,is the si unit for radioactivity named after him,yes,easy,medium,S09_set4_a9,Henri_Becquerel
2421,,what were some other names of the city,petrograd and leningrad,medium,easy,S10_set3_a10,Saint_Petersburg
2422,Grover_Cleveland,how many children did grover cleveland have,six,hard,too hard,S08_set3_a6,
2423,,are male females generally taller than female giraffes,yes,hard,medium,S09_set1_a5,Giraffe
2424,Gerald_Ford,did ford need to do extra work to pay for college,yes,hard,medium,S08_set3_a10,
2425,Liechtenstein,what happened in moravia  lower austria  silesia  and styria  though in all cases  these territories were held in fief under other more senior feudal lords,the liechtenstein dynasty acquired vast swaths of land,,medium,S08_set2_a1,
2426,Grover_Cleveland,where was grover cleveland married,in the blue room in the white house,medium,medium,S08_set3_a6,
2427,Anders_Celsius,is the celsius crater on the moon named after him,yes,,easy,S08_set4_a5,
2428,Ulysses_S._Grant,was ulysses grant a general in the american civil war,yes,easy,easy,S08_set3_a5,
2429,Finland,name an animal that is growing in number due to recent conservation efforts,golden eagle,hard,hard,S08_set2_a4,
2430,,how large is the population of san francisco,san francisco has an estimated population of 808976,medium,medium,S10_set3_a8,San_Francisco
2431,,what are some annual festivals in taipei,some annual festivals include tombsweping day the dragon boat festival the ghost festival and the midautumn festival,medium,medium,S10_set3_a6,Taipei
2432,otter,how are otters playful animals,they slide repeatedly down snowy slopes for sheer enjoyment,hard,hard,S08_set1_a7,
2433,,what are the two subspecies of giant pandas,ailuropoda melanoleuca melanoleuca and  ailuropoda melanoleuca qinlingensis,hard,hard,S10_set1_a4,Giant_Panda
2434,,what can be augmented with a fourth valve,flugelhorn,hard,hard,S10_set2_a3,Trumpet
2435,turtle,is aquatic respiration in australian freshwater turtles being studied,yes,,easy,S08_set1_a9,
2436,James_Monroe,which property did james monroe sell in 1817,monroe hill on the grounds of the university of virginia,medium,hard,S08_set3_a2,
2437,duck,what kind of ducks feed on land,dabbling ducks,medium,easy,S08_set1_a10,
2438,Millard_Fillmore,what did taylor and fillmore disagree upon,slavory issues,hard,easy,S08_set3_a3,
2439,Qatar,who served as the headquarters and one of the main launching sites of the us invasion of iraq in 2003,qatar,,medium,S08_set2_a3,
2440,Canada,what was canadas most important industry until the 1800s,the fur trade,,easy,S08_set2_a8,
2441,Calvin_Coolidge,why did coolidge not attend law school,cost,hard,too hard,S08_set3_a9,
2442,,who was the victor of the war of currents,nikola tesla,hard,hard,S09_set4_a3,Nikola_Tesla
2443,Amedeo_Avogadro,did the scientific community not reserve great attention to his theory,yes,,easy,S08_set4_a8,
2444,,how do giraffes defend themselves,with a powerful kick,medium,medium,S09_set1_a5,Giraffe
2445,Abraham_Lincoln,how old was lincoln in 1816,seven,medium,medium,S08_set3_a4,
2446,Indonesia,are sports in indonesia generally maleorientated,yes,,easy,S08_set2_a10,
2447,,when were his papers donated by lee krasner,in 1983,,medium,S10_set6_a9,Jackson_Pollock
2448,,what happened in 1894,jeanbaptiste arban published complete conservatory method for trumpet,,hard,S10_set2_a3,Trumpet
2449,,did faraday discover the chemical substance benzene,yes,easy,easy,S09_set4_a7,Michael_Faraday
2450,Ghana,where is old ghana in relation to present ghana,500 miles north,medium,medium,S08_set2_a5,
2451,Theodore_Roosevelt,what did roosevelt do to improve his physical condition,roosevelt took up exercise,medium,hard,S08_set3_a7,
2452,Indonesia,has indonesia the world s largest muslim population,yes,,easy,S08_set2_a10,
2453,,are bees related to ants,yes,easy,hard,S09_set1_a8,Bee
2454,Calvin_Coolidge,when was coolidge born,july 4 1872,medium,medium,S08_set3_a9,
2455,,which harmonics can produce any notes above middle c,artificial harmonics,hard,medium,S09_set2_a9,Cello
2456,Woodrow_Wilson,what defended slavery owned slaves and s08_set up a sunday school for them,his father,,medium,S08_set3_a8,
2457,,does ottawa sit on the ottowa river,yes,easy,easy,S09_set3_a5,Ottawa
2458,Woodrow_Wilson,where did wilson attend law school,wilson attended law school at university of virginia,medium,medium,S08_set3_a8,
2459,,do small tremors occur in ottawa,yes,easy,hard,S09_set3_a5,Ottawa
2460,,is it characterized by large multifaceted eyes two pairs of strong transparent wings and an elongated body,yes,,easy,S10_set1_a7,Dragonfly
2461,otter,how much do sea otters weigh,30 kg about 65 pounds,medium,easy,S08_set1_a7,
2462,,if henri becquerel was alive today how old would he have been,157,,hard,S09_set4_a9,Henri_Becquerel
2463,Gerald_Ford,did gerald ford serve as the republican minority leader of the house of representatives,yes,easy,easy,S08_set3_a10,
2464,Calvin_Coolidge,what caused calvin jrs death,heart attack,hard,hard,S08_set3_a9,
2465,,what happened in 1757 to 1759,charlesaugustin de coulomb joined his fathers family in montpellier and took part in the work of the academy of the city,,hard,S10_set4_a6,Charles-Augustin_de_Coulomb
2466,Abraham_Lincoln,did lincoln win the election of 1860,yes,hard,too hard,S08_set3_a4,
2467,,who was a member of the sandemanian sect of christianity,faraday,medium,medium,S09_set4_a7,Michael_Faraday
2468,,what did pascal argue was as perfect as possible,the procedure used in geometry,medium,medium,S09_set4_a4,Blaise_Pascal
2469,,what happened in nineteen fifty seven,maynard ferguson formed his own band,,hard,S10_set2_a3,Trumpet
2470,,are feminines declined in the singular,no,,easy,S09_set5_a2,German_language
2471,,are fennec foxes endangered,no,easy,easy,S09_set1_a6,Fox
2472,,before 1796 was lombardy ruled by austria,yes,,medium,S09_set4_a10,Alessandro_Volta
2473,,what notable people have been named santiago,benito santiago hugo santiago joey santiago liliana santiago rafael santiago maria santiago caballero santiago cabrera james son of zebedee,hard,hard,S09_set3_a6,Santiago
2474,Anders_Celsius,what happened from 1730 to 1744,he was professor of astronomy at uppsala university,,easy,S08_set4_a5,
2475,,are swans and ducks birds of the same family,yes,hard,hard,S09_set1_a10,Swan
2476,leopard,are large pythons potential prey for leopards,yes,easy,easy,S08_set1_a2,
2477,,why is antwerp important to fashion,yes,hard,medium,S10_set3_a4,Antwerp
2478,Indonesia,is indonesia the worlds largest archipelagic state,yes,,medium,S08_set2_a10,
2479,James_Monroe,when did james monroe graduate from william and mary,1776,easy,medium,S08_set3_a2,
2480,kangaroo,where do joeys complete postnatal development,marsupium,medium,medium,S08_set1_a1,
2481,,wasnt leonardo da vinci born on april 15,yes leonardo da vinci was born on april 15,,easy,S10_set6_a3,Leonardo_da_Vinci
2482,duck,where did the expression a sitting duck come from,in many areas wild duckof various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys,hard,hard,S08_set1_a10,
2483,,how does a trumpet produce sound,by blowing air through closed lips,medium,medium,S09_set2_a3,Trumpet
2484,,what is anders celsiuss last name,celsius,,easy,S09_set4_a5,Anders_Celsius
2485,Canada,how many provinces and territories does canada have,a federation now comprising ten provinces and three territories,medium,medium,S08_set2_a8,
2486,,how long has the basic design of the drum remained unchanged,remained virtually unchanged for thousands of years,medium,medium,S10_set2_a4,Drum
2487,,what is the difference between celsius original temperature scale and the one we use today,scale was reversed,hard,hard,S09_set4_a5,Anders_Celsius
2488,,what type of current did tesla invent,ac,hard,hard,S09_set4_a3,Nikola_Tesla
2489,Millard_Fillmore,did fillmore run for president a second time,yes,hard,medium,S08_set3_a3,
2490,,did the economy improve in jakarta in 2007,yes,hard,hard,S10_set3_a5,Jakarta
2491,elephant,what are the elephants ears important for,temperature regulation,hard,hard,S08_set1_a5,
2492,beetle,are certain species of beetles considered pests,yes,easy,easy,S08_set1_a8,
2493,,what are a pianos keys generally made of,piano keys are generally made of spruce or basswood,medium,easy,S10_set2_a1,Piano
2494,otter,how do sea otters insulate themselves,as with other species of otter they rely on a layer of air trapped in their fur which they keep topped up by blowing into the fur from their mouths,hard,hard,S08_set1_a7,
2495,Uruguay,how many square kilometres of continental land is uruguay,176214 square kilometres,medium,medium,S08_set2_a9,
2496,kangaroo,what are some extinct predators of the kangaroo,thylacine marsupial lion maagalania and wonambi,hard,hard,S08_set1_a1,
2497,,who was made to travel outside the coach,faraday,hard,hard,S09_set4_a7,Michael_Faraday
2498,,how is the pronunciation of foreign words determined,the pronunciation of foreign words is done by employing chinese characters with similar pronuncations,hard,hard,S10_set5_a7,Chinese_language
2499,Finland,what is the life expectancy for men,75 years,medium,medium,S08_set2_a4,
2500,Liechtenstein,has leichtenstein worked to promote the countys image by prosecuting international moneylaundering,yes,hard,hard,S08_set2_a1,
2501,,approximately how many species of testudines are alive today,300,medium,easy,S09_set1_a9,Turtle
2502,Finland,does a large proportion of the population speak swedish as its mother tongue,no,hard,hard,S08_set2_a4,
2503,,is kuala lumpur the capitol of malaysia disfluent,yes,easy,easy,S10_set3_a3,Kuala_Lumpur
2504,polar_bear,are studies insufficient evidence for global protection,it is arguable,,medium,S08_set1_a4,
2505,James_Monroe,where was james monroe shot,the battle of trenton,medium,medium,S08_set3_a2,
2506,,which fruit inspired isaac newtons theory of gravitation,isaac newtons theory of gravitation was inspired by watching the fall of an apple from a tree,hard,hard,S10_set4_a1,Isaac_Newton
2507,,what music group was named after tesla,tesla,hard,hard,S10_set4_a3,Nikola_Tesla
2508,,when was the turkish language association founded,in 1928,medium,hard,S10_set5_a8,Turkish_language
2509,,after the 2008 elections what party had the most parliament seats,dap,hard,hard,S10_set3_a3,Kuala_Lumpur
2510,Uruguay,how many times has uruguay won the world cup,on two or more occasions,hard,hard,S08_set2_a9,
