Question,Answer,Predictive Answer
where did the construction of fort bourbon take place,the construction of fort bourbon took place in martinique,no 
what is finlands economy like,a highly industrialised freemarket economy,a luthier 
can beetles be found in polar regions,no,no 
did he become chief engineer in the department of bridges and highways,yes,yes 
is the larger work now almost universally attributed to leonardo,although previously attributed to ghirlandaio the larger work is now almost universally attributed to leonardo,yes 
do butterflies make sounds,some butterflies make sounds,no 
what event marked the end of the old portuguese period,the end of the old portuguese period was marked by the publication of the cancioneiro geral by garcia de resende,the federalist party 
was charles augustin  de coulomb   born  june  14   1736   angoulãªme   france    died august 23   1806   paris   france   a french  physicist,yes,yes 
did continental european immigrants not s08_settle the prairies,no,no 
is antwerp a city,yes,yes 
of whose continual poor health was the cause never precisely determined,blaise pascal,no 
does portuguese contain words from the arabic language,yes,yes 
when was he elected sheriff of erire county new york,1870,yes 
in which years were john monroe elected as president,18171825,march 4 1861 
give an example of the longest most destructive and most lethal sieges of major cities in modern history,the siege of leningrad,the government of the royal superior council on public instruction 
was abraham lincoln the first president of the united states,no,yes 
when is the pacific typhoon season,between june and october,its between june and october 
what percentage of the korean language does jeong jaedo estimate to be sinokorean,sinokorean makes up 30 of the korean language,pleurodira 
ultraviolet vision was first discovered in ants by sir who in 1881,john lubbok,yes 
was king victor emmanuel iii there to pay homage to avogadro,yes,yes 
what is the official name of jakarta,daerah khusus ibukota jakarta,daerah khusus 
is the city named after the apostle saint peter,yes,yes 
what do kangaroos use for crawlwalking,their hind feet and their tails,its tongue 
is it derived from the latin spoken by the romanized preroman peoples of the iberian peninsula namely the gallaeci the lusitanians the celtici and the conii around 2000 years ago,yes,yes 
was grover cleveland elected sheriff of erie county new york,yes,yes 
when did canada have one of the largest armed forces in the world,1944,no 
when was the six day war,1967,1967 
is the word korean derived from goryeo,yes,yes 
does a male leopard weigh more than a female leopard,yes,yes 
what is the boiling point of water dependent on,atmospheric pressure,atmospheric pressure 
are cymbals used in moden orchestras,yes,yes 
how is the climate in the city,jakarta has a hot and humid equatorialtropical climate,jakarta has a hot and humid equatorialtropical climate 
what did anders celsius determine about the boiling of water,dependence with atmospheric pressure,pleurodira 
when did watt retire,watt retired in 1800,in 1451 berlin gave up its status as a free hanseatic city 
what are modern guitar strings constructed of,metal polymers or animal or plant product materials,brass tubing bent twice into an oblong shape 
do ants belong to the same order as bees,yes ants belong to the same order as bees,yes 
where was popkomm held before moving to berlin,popkomm was held in cologne before moving to berlin,from g3 to c8 
was kee seven years older than van gogh as well as had an eightyearold son,yes,yes 
in ant colonies what are the fertile female ants called,queens,yes 
what did the legal tender act of 1862 establish,the united states note the first paper currency in united states history,the largest primarily frenchspeaking city 
do zebras sleep standing up,yes,yes 
in 1820 avogadro became a professor of physics where,university of turin,university of turin 
how many trades can the nse make per day,10 million trades,10 million trades 
did bartolomeo cristofori invent the modern piano,yes,yes 
how many domestic tourists visit melbourne,76 million domestic visitors,76 million domestic visitors 
what do all turtles and tortoises breathe,air,air 
what did coolidge do after graduating from amherst,coolidge moved to northampton massachus08_setts,a heart attack 
was wilson a remarkably effective writer and thinker,yes,yes 
was there a cholera outbreak in 1832,yes,yes 
is each node at an integer division of the string,yes,yes 
is it often called just petersburg rrb and is informally known as piter rrb,yes,yes 
is it true that institution formed the foundation of electric motor technology,no,no 
is san franscico a popular tourist destination,yes,yes 
did albert einstein keep a photograph of faraday on his study wall,yes albert einstein kept a photograph of faraday on his study wall,yes 
how many people speak turkish worldwide,there are roughly another 10 million native speakers worldwide,over 300 languages are spoken in london 
when did alessandro volta improve  and popularize the electrophorus,1775,alessandro volta improved and popularized the electrophorus in 1775 
are the several dialects of kagoshima famous to speakers,yes,yes 
is the national palace museum in taipei,yes,yes 
does uruguay border french guiana,no,no 
in which country is portuguese the coofficial language with cantonese chinese,macau,much vocabulary has been borrowed from left to right 
is it advantageous for a grand pianos metal plate to be quite massive,it is advantageous for the plate to be quite massive,yes 
what contribution did charlesaugustin de coulomb make to the field of geotechnical engineering,retaining wall design,the volt 
what are the three dialect regions of vietnamese,the three regions are north central and south,the three heaviest cats in the world are the tiger lion and jaguar 
what are female foxes called,vixens,pleurodira 
four years after opening his shop  watt began what,watt began to experiment with steam after his friend professor john robison called his attention to it,1868 
did theodore roosevelt go to harvard,yes,yes 
what has uruguay done to be competitive in agriculture,use low inputs of labour technology and capital which results in lower yields but also opens the door for uruguay to market its products as natural or ecological,use low inputs of labour technology and capital which results in lower yields but also opens the door for uruguay to market its products as natural or ecological 
how many siblings did nikola tesla have,nikola tesla had four siblings,six 
about how tall is a typical studio piano,studio pianos are around 42 to 45 inches tall,over 300 languages are spoken in london 
who referred to the cello as ï½basso de viola da braccio,monteverdi,monteverdi 
do kangaroos have many natural predators,no,no 
did uganda make swahili a required subject in primary schools,yes,yes 
how long is a leopards tail,60110cm,meat 
does indonesia have the worlds hightest level of biodiversity,no,no 
how many head entries for character definitions does the zhonghua zihai 20013213262338328023 1994 contain,54678,over two hundred 
did jayawikartas soldiers attack the dutch fortress,yes,yes 
have most otters fish as the primary item in their diet  supplemented by frogs  crayfish and crabs,yes,yes 
in what language was his 1811 paper published,avogadros 1811 paper was published in french,french 
which temperature scale did celsius propose,celcius,at the battle of singapore 
why churchill called the occupation of singapor by janpan during wwii britains greatest defeat,the british were defeated in six days,the city lima 
is san franscico a popular tourist destination,yes san francisco is a popular international tourist destination,yes 
when was newtons date of birth recorded,his date of birth was recorded as christmas day december 25 1642,his date of birth was recorded as christmas day 
can these allophones not occur in these positions in english,yes,yes 
what does a polar bears fur provide,a polar bears fur provides camouflage and insulation,a polar bears skin 
who achieved international fame as the leading union general in the american civil war,grant,1967 
what centred in sierra,the leopard men,the volt 
what may happen to red fire ants if we use boiling water on the queen,nests of red fire ants may be destroyed,28 
how to travel to work from the city to moscow,railway,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction 
who got seward elected to the senate,weed,weed ultimately got seward elected to the senate 
in fact was avogadro s  famous  1811  paper written in french,yes,yes 
where did tesla study electrical engineering,the austrian polytechnic in graz,the austrian polytechnic in graz 
what drives sea otter almost to extinction,humans hunted them almost to extinction,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction 
which building is the site of the german parliament,the reichstag building is the site of the german parliament,the largest primarily frenchspeaking 
are penguins considered higher waterbirds,yes,yes 
could malay have originated from sumatra island,yes,yes 
where did the construction of fort bourbon take place,martinique,no 
is jakarta a city,yes,yes 
why is a police whistle very wide for its pitch,a flutes volume can generally be increased by making its resonator and tone holes larger,a flutes volume can hide flee quickly expel ink or use colorchanging camouflage 
how many sister cities does the city of melbourne have,six,six 
what is the difference between leopards and cheetahs,the leopard has ros08_settes rather than cheetahs simple spots and the leopard is larger and less lanky than the cheetah,the largest primarily frenchspeaking 
where did coolidges grandfather had government offices,the town of plymouth notch,the government seeks to increase its gdp contribution to 3 by 2012 
what language besides malay is in the austronesia language family,malagasy,two long tours 
does theodore roosevelt have a brother,yes,yes 
who was kwame nkrumah,founder and first president,founder 
how many verb paradigms are there in korean,there are seven verb paradigms or speech levels in korean,there are around 300 recognized octopus species 
was the arrival of louis kossuth exiled leader of a failed hungarian revolution another issue that presented itself during fillmores presidency,yes,yes 
what butterfly is migratory,the monarch butterfly is migratory,the volt 
what is another term for korean adjectives,adjectives are also known as descriptive verbs or stative verbs,its tongue is a flat plate and on the tongues back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down 
where was millard fillmore born,in a log cabin in summerhill new york,in a log cabin in summerhill new york 
are polar bears excellent swimmers,yes,yes 
what countries did james vi of scotland unite,james vi of scotland united scotland and england,pleurodira 
over how many languages are spoken in london,over 300,over 300 languages are spoken in london 
who became adversaries with nikola tesla,edison,53 
what do beetles eat,they often feed on plants and fungi break down animal and plant debris and eat other invertebrates,they are food to beetles 
did ulysses win the battle of champion hill,you betcha,yes 
was henri becquerel first in his family to occupy the physics chair at the museum national dhistoire naturelle,no,no 
does lima have volleyball venues,yes,yes 
did avogadro submit his poem,yes,yes 
who is daffy duck,a silly cartoon character,a luthier 
do otters enjoy playing,yes,yes 
has the design of drums changed recently,no,no 
are ride cymbals very common,yes,yes 
does coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design,yes,yes 
do turtles lay eggs underwater,no,no 
what is the middle pedal called on grand pianos,sostenuto pedal,the largest primarily frenchspeaking city in the western world is paris 
was watt a fellow of the royal society of edinburgh and the royal society of london,yes,yes 
is there an airport in liechtenstein,no,no 
why doesnt romania have a state religion,romania is a secular state,yes 
do women live longer than men,yes,yes 
how does a mallards tongue work,it uses short spikes to push struggling prey and other food down its throat,it uses short spikes for food its throat 
how old was pascal when he lost his mother,3,sea 
does portuguese contain words from the arabic language,yes portuguese contains words from the arabic language,yes 
adams  opponents were what,democratic republicans,democratic republicans 
when did alessandro volta improve  and popularize the electrophorus,alessandro volta improved and popularized the electrophorus in 1775,alessandro volta improved and popularized the electrophorus in 1775 
how does a flute player change the pitch of the sound,by opening and closing holes in the body of the instrument,by their hardened often darkened 
when did picasso make his first trip to paris,1900,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
is he also noted for his work for the boy scouts of america bsa,yes,yes 
who founded montevideo,by the spanish in the early 18th century,the federalist party 
what is the official language of turkey,turkish,turkish 
is the electrolyte sulphuric acid,yes,yes 
are canada s two official languages english and french,yes,yes 
in what year did henri becquerel die,august 24 1908,august 24 1908 
does liechtenstein have an army,no,no 
was nikola teslas mother illiterate,yes,yes 
is schloss charlottenburg the largest existing palace in berlin,yes,yes 
is avogadro s number commonly used to compute the results of chemical reactions,yes,yes 
when did tesla demonstrate wireless communication radio,1893,yes 
what happened in 1887,in 1887 a year when queen victoria celebrated her golden jubilee and upon the request of the queens associate phillip richbourg he donated several paintings to the french impressionist paintings catalog as a token of his loyalty,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted them almost universally attributed to his appointment as intendent des eaux et 
who determined to pursue mathematics,charlesaugustin de coulomb,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport 
can women legally drive in qatar,yes,yes 
do scutes fall away from the turtles shell,some of the scutes eventually fall away from the shell,yes 
is a polar bear at high risk of extinction,yes,yes 
was newton a english physicist,yes,yes 
was vietnamese influenced by chinese,much vocabulary has been borrowed from chinese,yes 
where is the kven language spoken,the kven language is spoken in northern norway,the largest primarily frenchspeaking city in the western world is paris 
what is the poulation of egypt,78 million people,more than 78 million 
who were the midnight judges,they were a series of judges so called because most of them were formally appointed days before adams presidential term expired,they are food to beetles 
what european countries established states in ghana,the uk,christian 
are male otters dogotters  females are bitches and babies are cubs or pups,yes,yes 
is malay the one of the most widely spoken languages in the world,yes,yes 
what is the basic word order in malay,subject object verb,subject object verb 
has the design of drums changed recently,no,no 
what is the si unit for radioactivity called,becquerel,becquerel 
sibiu a large city in transylvania was chosen as european capital of culture in what year,2007,1868 
are the dialects of finnish divided into two groups,yes the dialects of finnish are divided into two groups,yes 
is the stressed  syllable called the nuclear  syllable,yes,yes 
did uganda make swahili a required subject in primary schools,yes uganda made swahili a required subject in primary schools,yes 
is the trumpet constructed of brass tubing bent twice into an oblong shape,yes,yes 
can black swans swim with only one leg,yes,yes 
what do we refer musicians who play flute,a flute player a flautist or a flutist,a flute player a flautist or a flutist 
is polar bear a carnivore,yes,yes 
what have been inhabited for millennia by aboriginal peoples,the lands,the volt 
is a trumpet played by blowing air through closed lips,yes,yes 
who were the orkhon inscriptions built for,the orkhon inscriptions were erected in honour of the prince kul tigin and his brother emperor bilge khan,the government seeks to increase its gdp contribution to 3 by 2012 
how many townships are in ottawa,eleven,eleven 
is avogadro hailed as a founder of the atomicmolecular theory,yes,yes 
is it true that he sent in federal troops to chicago,yes,yes 
what is a trumpet constructed of,brass tubing,brass tubing bent twice into an oblong shape 
is there a programming language called pascal,yes,yes 
are there seven verb paradigms or speech levels in korean,yes,yes 
who did newton see as the master creator,newton saw god as the master creator whose existence could not be denied in the face of the grandeur of all creation,god 
what religions has egypt outlawed,all but christianity islam and judaism,all but christianity islam christianity and judaism 
what was adams political party,the federalist party,the federalist party 
how is singapores climate characterized,its climate is characterized by uniform temperature and pressure high humidity and abundant rainfall,its tongue is a flat plate and on the tongues back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down 
is english the language most often spoken in montreal,the language most spoken at home in the city is french,no 
can black swans swim with only one leg,yes,yes 
from what did pascal suffer throughout his life,poor health,pleurodira 
what are ottawas primary industries,logging and lumber,over 300 languages are spoken in london of scotland united scotland and england 
what has been discovered about turtles organs,they do not break down,they are food to beetles 
who makes up ghanas parliament,the new patriotic party and national democratic congress,the revolution caused coulomb to resign his appointment as intendent des eaux et fontains 
who lost control of his party to the agrarians and silverites in 1896,grover cleveland,yes 
is it also one of the two official languages in the yanbian korean autonomous prefecture in china,yes,yes 
when did yuan shikai die,1916,1908 
who first calculated the value of avogadros number,johann josef loschmidt first calculated the value of avogadros number,johann josef loschmidt first calculated the value of avogadros number 
do otters eat fish,yes,yes 
for how many years did henri becquerel live,56,sea 
do many players use a smaller mouthpiece on the piccolo trumpet,yes,yes 
are the dialects of finnish divided into two groups,yes,yes 
have coleopterists formed organisations to facilitate the study of beetles,yes,yes 
do wolf pups tend to have darker fur than adults,yes they do tend to have darker furs,yes 
who frequented the circle of the britishaustralian artist john peter russell,van gogh,in 1451 berlin gave up its status as a free hanseatic city 
is adams birthplace part of a national park,yes,yes 
where do leopards often hide their kills,in dense vegetation or in trees,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
what part of the cymbal gets the best crash,edge or rim,over 300 
how much of the population is of white european descent,approximately 88 of its population are of prevalently white european descent,approximately 88 of its population are of prevalently white european descent 
what is polar bears skin color,black,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly woodlands 
did grover cleveland support womens suffrage,no,no 
how can an octopus defend against predators,to defend against predators an octopus can hide flee quickly expel ink or use colorchanging camouflage,in a log cabin in summerhill new york city 
are xylophone bars made of rosewood,yes,yes 
is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived,yes,yes 
where does the word otter derive from,the word otter derives from the old english word otr otor or oter this and cognate words in other indoeuropean languages ultimately stem from a root which also gave rise to the english words water wet and winter,the word otter derives from the old dative form as well as a distinct genitive case 
what is the range of lifespans of the octopus,octopuses can live from six months to five years,the octopus mouth is a short liftable flap with about 18 short spikes for food or sport 
when was lima founded,january 181535,in 1451 berlin gave up its status as a free hanseatic city 
is the giant panda a mammal,yes,yes 
how does a mallards tongue work,its tongue is a flat plate and on the tongues back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat,its tongue 
what happened in 1896,becquerel accidentally discovered radioactivity,christian 
how do cuba and declining participation relate,canada maintains full relations with both,uruguay exports architectural services to india and latin america 
which album was the song the bonny swans from,the mask and mirror,the largest primarily frenchspeaking city in the western world is paris 
when was his last painting for the post published,1963,1963 
are most eels predators,yes most eels are predators,yes 
who wrote about ants in a tramp abroad,mark twain,mark twain 
what is the middle pedal called on grand pianos,the sostenuto pedal,the sostenuto pedal 
does the de young museum house the asian art museum,yes,yes 
who was president when wilson finished congressional government,grover cleveland,grover cleveland 
who showed that avogadros theory held in dilute solutions,jacobus henricus van t hoff showed that avogadros theory holds in dilute solutions,jacobus henricus van t hoff showed that avogadros theory holds in dilute solutions 
what traps a layer of air and keeps them dry and warm under water,long guard hair,pleurodira 
when was the an shi rebellion launched,in 755 ad,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
is english the language most often spoken in montreal,no the language most spoken in montreal is french,no 
is there a monument to tesla at niagara falls new york,yes,yes 
how many subspecies of the giant panda are there,two,78 million 
is the museum of gold in lima,yes,yes 
what is caching food,caching is burying it for later consumption usually under leaves snow or soil,caching is burying it for later consumption 
regarding this topic what did david alfaro siqueiros do,pollock was introduced to the use of liquid paint in 1936 at an experimental workshop operated in new york city by the mexican muralist david alfaro siqueiros,they are the tiger lion and jaguar 
what religions are found in uruguay,roman catholic protestant jewish,roman catholic 
what did aristotle say about elephants,the beast which pass08_seth all others in wit and mind,the federalist party 
what suborder of turtles is extinct,paracryptodira,pleurodira 
when did adams graduate from college,1755,in 1451 berlin gave up its status as a free hanseatic city 
have other techniques been used to cause drums to make sound such as the thumb roll,yes,yes 
who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds,anders celsius,no 
is avogadros number used to compute the results of chemical reactions,yes,yes 
was nassau placed in operation by robert fulton,yes,yes 
are turtle eggs leathery and soft,yes,yes 
how can beetle larvae be differentiated from other insect larvae,by their hardened often darkened head the presence of chewing mouthparts and spiracles along the sides of the body,by their hardened often darkened head the presence of chewing mouthparts and spiracles 
was the si unit of charge named after charlesaugustin de coulomb,yes the si unit of charge the coulomb was named after him,yes 
did the dutch build the elmina castle,no,no 
which berlin building did architect norman foster remodel in the 1990s,reichstag building,the reichstag building 
is the most read newspaper in finland taloussanomat,no,no 
what kind of piano did irving berlin play,the transposing piano,the transposing piano 
oxygen is what,one kind of gas obtained via a tracheal system,one kind of gas obtained via a tracheal system 
around how many recognized octopus species are there,there are around 300 recognized octopus species,78 million 
when is the pacific typhoon season,its between june and october,its 
what allows a duck to filter water out of the side of their beaks and keep food inside,tiny rows of plates called lamellae,in many areas or 6 
what happened in a log cabin in summerhill  new york,fillmore was born,fillmore was born 
was santiago the name of an indiepunk band,yes,yes 
how many letters are in the basic latin alphabet,26,over two hundred 
are several species of ants able to use the earths magnetic field,yes,yes 
what happened in 1838,don josé ruiz y blasco was born,don josé ruiz y blasco was born 
is uruguay very common,no,no 
what are the differences between english and swedish pronouns,swedish pronouns are basically the same as those of english but distinguish two genders and have an additional object form derived from the old dative form as well as a distinct genitive case,over two hundred 
when was the pan flute used in greece,7th century bc,no 
which harmonics can produce any notes above middle c,artificial harmonics can produce any notes above middle c,in 1451 berlin gave up its status as a free hanseatic city 
do otters live in water,yes,yes 
when did filippo strozzi sell it to francis i,in 1529,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
what do humans use bees for,honey,honey 
in what year did avogadro stop teaching at turin university,1823,1823 
was nikola tesla close friends with mark twain,nikola tesla was close friends with mark twain,yes 
is the central market located in the proximity of the pertama complex,no,no 
did ulysses win the battle of champion hill,yes,yes 
how heavy is a male polar bear,most adult males weigh 350650 kg,most adult males weigh 350650 kg 
do worker ants have wings,no worker ants do not have wings,no 
what is santiago,santiago is spanish for st james it is also the name of places in argentina brazil cape verde chile colombia costa rica cuba the dominican republic ecuador guatemala jamaica mexico nicaragua panama paraguay peru the philippines portugal spain the united states venezuela and the amazon it is also the name of a baseball catcher a film director a guitarist an economist a footballer a dj an actor and james son of zebedee fictional people with this name include a character from gears of war a character from chronicle of a death foretold a character in old man and the sea a character in babylon 5 a character in interview with the vampire the main character of the alchemist and a character on friday night lights there has also been a battle of santiago de cuba a couple of bands named santiago an order of santiago and santiago as a shortened form of the reconquista battle cry,santiago is spanish for st james it is also the name of a baseball catcher a film director a guitarist an economist a footballer a dj an actor and james 
how long are cougar adult males from nose to tail,24 meters,24 meters 
what is the center of a cymbal called,bell,a luthier 
can otters survive in cold water,yes,yes 
is finnish a member of the balticfinnic subgroup of the uralic languages,yes,yes 
is grover cleveland honest,yes,yes 
are the zholes used as access points to the interior of the cello,no,no 
were newtons religious views consistent with anglicanism,no,no 
did uruguay host the first ever world cup,yes,yes 
what is a violin called informally,fiddle,a luthier 
whats the population of kuala lumpur,16 million,yes 
is uruguays landscape mountainous,no,no 
what is the current estimated population of nairobi,about 3 million,about 3 million 
how much do wolves weigh,between 32 and 68 kilograms,taipei produces high technology and hitech components 
was wilson  a staunch opponent of antisemitism  sympathetic to the plight of jews  especially in poland and in france,yes,yes 
do more northern speakers speak the southern regional dialect than southern speakers speak the northern dialect,more southern speakers speak the northern dialect than northerners speak the suthern dialect,yes 
what religion did isaac newton follow,unorthodox christian,unorthodox christian 
at what age can a zebra breed,5 or 6,over 300 languages are spoken in london 
what is actually black in color,a polar bears skin,a polar bears skin 
where do sea otters live,sea otters enhydra lutris live along the pacific coast of north america,sea otters enhydra lutris live along the pacific coast of north america 
were the leopard men a west african secret society who practised cannibalism,yes,yes 
is a third  prefix the object  prefix,yes,yes 
what does taipei produce,taipei produces high technology and hitech components,taipei produces high technology and hitech components 
what happened in 1867,canada was formed as a federal semiautonomous polity,christian 
is it a constitutional democracy  where the president fulfills the roles of both head of state and head of government,yes,yes 
is the word cymbal derived from a germanic word,no,no 
what transnational bridge was completed in 2000,oresund bridge,oresund bridge 
what do some historians of science refer to faraday as,best experimentalist in the history of science,the federalist party 
when did baldassare castiglione author of il cortegiano   the courtier   write,1528,yes 
whate is the usual pitch range of a violin,from g3 to c8,from g3 
what festival features fireworks  celebrating the end of the school year,the white nights festival in saint petersburg,the leopards ecological role 
where did a suicidebombing kill a teacher in 2005,at the doha players theatre,at the doha players theatre 
do all ducks quack,no,no 
how did fillmore ascend to the presidency,upon the death of the sitting president taylor,upon the death of the sitting president taylor 
do both sexes of giraffe have horns,yes,yes 
is the asian elephant larger than the african,no,no 
what is the largest living species of penguin,the emperor penguin aptenodytes forsteri,the emperor penguin aptenodytes forsteri 
what is the first word on the page,james,james 
is the president elected by popular vote,yes,yes 
are drums often used in music therapy,yes,yes 
is a bee an insect,yes,yes 
are there any cities named santiago in the united states,yes,yes 
how are otters playful animals,the slide down snowy slopes apparently for sheer enjoyment,the slide down snowy slopes apparently for sheer enjoyment 
what religion do most uruguayans profess,roman catholic,roman catholic 
the ideas of the enlightenment shaped the development of what,the city lima,antwerp 
where was henri becquerel born,paris,paris 
was becquerel born in paris into a family which including he and his son jean produced four generations of scientists,yes,yes 
who won the 1903 nobel prize in physics for discovering radioactivity,henri becquerel,henri becquerel 
how many years ago was it when he became a professor of physics at the university of turin,189,189 
why are otters vulnerable to prey depletion,preydependence,yes 
who did sir thomas stamford raffles work for,british east india company,british east india company 
what is an economic use of a duck,meat,meat 
was isaac newton british,yes he was english,yes 
is ford one of only four former presidents to live to 90 or more years of age,yes,yes 
is there a programming language called pascal,yes,yes 
do his works enjoy a broad popular appeal in the united states where rockwell is most famous for the cover illustrations of everyday life scenarios he created for the saturday evening post magazine over more than four decades,yes,yes 
was calvin coolidge the twentyninth vice president,no,no 
who was pascals younger sister,jacqueline,jacqueline 
does romania border hungary,yes,yes 
what are the two subfamilies of the native ghanaian languages,kwa and gur,kwa and gur 
what book defined the official finnish language,the dictionary of contemporary finnish,the dictionary of contemporary finnish 
was adams raised congregationalist,yes,yes 
when did lincoln first serve as president,march 4 1861,march 4 1861 
do giraffes give birth standing up,yes,yes 
can a panther be any of several species of large felid,yes,yes 
how many main varieties of indian flutes are currently used,two,two 
was nikola tesla a vegetarian,in his later years tesla became a vegetarian,in his later years tesla became a vegetarian 
has singapore changi airport a network of 81 airlines connecting singapore to 185 cities in 58 countries,yes,yes 
what consists of a low barren plain covered with sand,much of the country,much of the country 
what is someone who makes violins called,a luthier,a luthier 
was it a twosentence description that completely caught the essence of ulysses s grant,yes,yes 
what suborder of turtle draws its head into its shell,pleurodira,pleurodira 
how much increase in the medias contribution to gdp is the government seeking,the government seeks to increase its gdp contribution to 3 by 2012,the government seeks to increase its gdp contribution to 3 by 2012 
is the xylophone a precursor to the vibraphone,yes,yes 
are otters herbivores,no,no 
is a violin sometimes informally called a fiddle regardless of the type of music played on it,yes,yes 
what are the three heaviest cats in the world,the three heaviest cats in the world are the tiger lion and jaguar,the three heaviest cats in the world are the tiger lion and jaguar 
did isaac newton die in 1898,no,no 
who became a professor of physics at the royal school in como,volta,volta 
when did tesla receive his last patent,1928,1928 
when was lee kuan yew prime minister of singapore,1959,yes 
is diglossia a common feature in mainland china and taiwan,yes diglossia is a common feature in mainland china and taiwan,yes 
how old was henri becquerel when he died,53,53 
do all eels live in fresh water,no,no 
are more residents employed by small businesses than in 1977,no,no 
was coulomb born in angoulãªme france to a well to do family,yes,yes 
what dwindled and eventually died out starting with the hartford convention,the federalist party,the federalist party 
founded by tsar peter i of russia on 27 may 1703 was it the capital of the russian empire for more than two hundred years 1713  1728 1732  1918,yes,yes 
where is the james watt memorial college,in greenock,in greenock 
what are the names of a pianos pedals,piano pedals from left to right una corda sostenuto and damper,piano pedals from left to right una corda sostenuto and damper 
do sea turtles lay eggs on dry sandy beaches,yes,yes 
do nearly all qataris profess islam,yes,yes 
what is the name of a university or similar institution for imparting higher education in beijing,tsinghua university,tsinghua university 
is a beetles general anatomy uniform,yes,yes 
what was henri becquerels profession,physisist,physisist 
hard,hard,yes 
who graduated in ecclesiastical law at the early age of 20 and began to practice,blah,blah 
are trumpets constructed of brass,yes,yes 
how many species of african elephants have been proposed,three,three 
is it a disadvantage for something to be unsafe to handle,yes,yes 
is one of the best known impressionist works renoirs 1876 dance at le moulin de la galette,yes,yes 
where are lobsters found,in all oceans,in all oceans 
is there a becquerel crater on the moon for radioactivity,yes,yes 
is santiago the national capital of a country,yes,yes 
did monroe wedding happen at the trinity church in new york,yes,yes 
how many years ago was the luther bible by martin luther printed,475,475 
in what year did the spanish establish a fort at the golden gate and a mission named for francis of assisi on the site,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
do drums consist of at least eight membranes,no,no 
did the modern hihat evolve from clash cymbals,yes,yes 
are turtles pets,yes,yes 
was he a member of the royal superior council on public instruction,yes  avogadro was a member of the royal superior council on public instruction,yes 
what is a colectivo,automobiles that renders express service on some major roads of the lima metropolitan area,automobiles that renders express service on some major roads of the lima metropolitan area 
is pencak silat an indonesian martial art,yes,yes 
what did james monroes letters not contain,no letters survive in which he might have discussed his religious beliefs,no letters survive in which he might have discussed his religious beliefs 
when did berlin give up its status as a free hanseatic city,in 1451 berlin gave up its status as a free hanseatic city,in 1451 berlin gave up its status as a free hanseatic city 
what are the most common cymbals,hihats crash splash ride and china,the three heaviest cats in the world are the tiger lion and jaguar 
regarding this topic what did the revolution do,the revolution caused coulomb to resign his appointment as intendent des eaux et fontains and retire,the revolution caused coulomb to resign his appointment as intendent des eaux et fontains and retire 
can turtles spend all their time underwater,no,no 
how long have people been making instruments like violins,since ancient times,since ancient times 
what is the largest primarily frenchspeaking city in the western world,the largest primarily frenchspeaking city in the western world is paris,the largest primarily frenchspeaking city in the western world is paris 
what religion holds majority in melbourne,christian,christian 
are beetles endopterygotes,yes,yes 
for how many years did alessandro volta live,53,sea otters have some 200000 hairs 
grant was elected president as a republican in what year,1868,1868 
who did james monroe marry,elizabeth kortright,elizabeth kortright 
when did written vietnamese become the official administrative language,vietnamese became the official administrative language by the 20th century,vietnamese became the official administrative language by the 20th century 
what happened on plants and fungi,they are food to beetles,they are food to beetles 
was watt ranked 22nd in michael h hart s list of the most influential figures in history,yes,yes 
which nation invaded singapore during world war ii,during world war ii the imperial japanese army invaded malaya culminating in the battle of singapore,during world war ii the imperial japanese army invaded malaya culminating in the battle of singapore 
what has uruguay done to be competitive in agriculture,labeling as natural or ecological,use low inputs of labour technology and hitech components 
how many municipalities are within oberland,6,over 300 languages are spoken in london 
was the pan flute used in greece,yes,yes 
how many years ago was the lima stock exchange the most profitable in the world,three,three 
does the australian black swan have white feathers on its wings,yes,yes 
how do india and latin america relate,uruguay exports architectural services to india and latin america,over 300 languages are spoken in london 
is it true that otters eat a variety of fish,yes,yes 
was fillmore one of the founders of the university of buffalo,yes,yes 
did faraday receive an extensive formal education,no,no 
where is amedeo avogadro from,italy,a heart attack 
what is the estimated population of egypt,78 million,more than 78 million 
